#timebase=20000000000(ps)
,#voltbase=500000(mv/100)
#size=40064
2.50E-05,3.000
5.00E-05,3.000
7.50E-05,3.020
1.00E-04,3.040
1.25E-04,3.000
1.50E-04,3.000
1.75E-04,3.020
2.00E-04,3.040
2.25E-04,3.000
2.50E-04,3.000
2.75E-04,3.020
3.00E-04,3.040
3.25E-04,3.040
3.50E-04,3.040
3.75E-04,3.000
4.00E-04,3.020
4.25E-04,3.020
4.50E-04,3.020
4.75E-04,3.040
5.00E-04,3.040
5.25E-04,3.040
5.50E-04,3.040
5.75E-04,3.040
6.00E-04,3.000
6.25E-04,3.000
6.50E-04,3.020
6.75E-04,3.040
7.00E-04,3.040
7.25E-04,3.000
7.50E-04,3.000
7.75E-04,3.020
8.00E-04,3.040
8.25E-04,3.040
8.50E-04,3.020
8.75E-04,3.000
9.00E-04,3.020
9.25E-04,3.000
9.50E-04,3.020
9.75E-04,3.000
1.00E-03,3.040
1.03E-03,3.020
1.05E-03,3.020
1.08E-03,3.020
1.10E-03,3.040
1.12E-03,3.000
1.15E-03,3.000
1.18E-03,3.000
1.20E-03,3.040
1.22E-03,3.000
1.25E-03,3.000
1.28E-03,3.020
1.30E-03,3.040
1.33E-03,3.000
1.35E-03,3.020
1.37E-03,3.020
1.40E-03,3.020
1.43E-03,3.020
1.45E-03,3.020
1.47E-03,3.040
1.50E-03,3.040
1.53E-03,3.040
1.55E-03,3.040
1.58E-03,3.060
1.60E-03,3.040
1.62E-03,3.000
1.65E-03,3.020
1.68E-03,3.020
1.70E-03,3.020
1.72E-03,3.000
1.75E-03,3.020
1.78E-03,3.000
1.80E-03,3.020
1.83E-03,3.000
1.85E-03,3.020
1.87E-03,3.020
1.90E-03,3.020
1.93E-03,3.000
1.95E-03,3.040
1.98E-03,3.040
2.00E-03,3.040
2.02E-03,3.040
2.05E-03,3.000
2.08E-03,3.000
2.10E-03,3.020
2.13E-03,3.040
2.15E-03,3.040
2.17E-03,3.000
2.20E-03,3.020
2.22E-03,3.020
2.25E-03,3.020
2.28E-03,3.020
2.30E-03,3.000
2.32E-03,3.000
2.35E-03,3.020
2.37E-03,3.000
2.40E-03,3.000
2.43E-03,3.000
2.45E-03,3.020
2.48E-03,3.000
2.50E-03,3.020
2.52E-03,3.040
2.55E-03,3.040
2.58E-03,3.020
2.60E-03,3.020
2.63E-03,3.020
2.65E-03,3.040
2.67E-03,3.020
2.70E-03,3.040
2.72E-03,3.040
2.75E-03,3.000
2.78E-03,3.000
2.80E-03,3.040
2.82E-03,3.000
2.85E-03,3.000
2.87E-03,3.000
2.90E-03,3.020
2.93E-03,3.020
2.95E-03,3.020
2.98E-03,3.000
3.00E-03,3.020
3.02E-03,3.020
3.05E-03,3.040
3.08E-03,3.020
3.10E-03,3.020
3.13E-03,3.020
3.15E-03,3.040
3.17E-03,3.040
3.20E-03,3.000
3.23E-03,3.020
3.25E-03,3.020
3.28E-03,2.980
3.30E-03,3.020
3.32E-03,3.020
3.35E-03,3.020
3.37E-03,3.020
3.40E-03,3.020
3.43E-03,3.020
3.45E-03,3.040
3.47E-03,3.000
3.50E-03,3.000
3.52E-03,3.020
3.55E-03,3.000
3.58E-03,3.020
3.60E-03,3.040
3.63E-03,3.000
3.65E-03,3.000
3.67E-03,3.020
3.70E-03,3.020
3.73E-03,3.020
3.75E-03,3.000
3.78E-03,3.000
3.80E-03,3.000
3.82E-03,3.000
3.85E-03,3.020
3.87E-03,3.000
3.90E-03,3.000
3.92E-03,3.020
3.95E-03,3.000
3.98E-03,3.020
4.00E-03,3.020
4.02E-03,3.040
4.05E-03,3.000
4.07E-03,3.000
4.10E-03,3.020
4.13E-03,3.040
4.15E-03,3.040
4.17E-03,3.000
