#timebase=40000000000(ps)
,#voltbase=500000(mv/100)
#size=4064
1.00E-04,3.180
2.00E-04,3.180
3.00E-04,3.200
4.00E-04,3.180
5.00E-04,3.200
6.00E-04,3.200
7.00E-04,3.200
8.00E-04,3.180
9.00E-04,3.200
1.00E-03,3.200
1.10E-03,3.180
1.20E-03,3.180
1.30E-03,3.200
1.40E-03,3.180
1.50E-03,3.200
1.60E-03,3.200
1.70E-03,3.180
1.80E-03,3.200
1.90E-03,3.180
2.00E-03,3.180
2.10E-03,3.180
2.20E-03,3.180
2.30E-03,3.200
2.40E-03,3.180
2.50E-03,3.180
2.60E-03,3.180
2.70E-03,3.180
2.80E-03,3.180
2.90E-03,3.200
3.00E-03,3.200
3.10E-03,3.200
3.20E-03,3.200
3.30E-03,3.180
3.40E-03,3.220
3.50E-03,3.200
3.60E-03,3.180
3.70E-03,3.180
3.80E-03,3.200
3.90E-03,3.180
4.00E-03,3.200
4.10E-03,3.180
4.20E-03,3.180
4.30E-03,3.180
4.40E-03,3.180
4.50E-03,3.200
4.60E-03,3.180
4.70E-03,3.180
4.80E-03,3.200
4.90E-03,3.180
5.00E-03,3.180
5.10E-03,3.180
5.20E-03,3.180
5.30E-03,3.200
5.40E-03,3.180
5.50E-03,3.180
5.60E-03,3.200
5.70E-03,3.200
5.80E-03,3.200
5.90E-03,3.180
6.00E-03,3.200
6.10E-03,3.200
6.20E-03,3.180
6.30E-03,3.200
6.40E-03,3.180
6.50E-03,3.180
6.60E-03,3.180
6.70E-03,3.200
6.80E-03,3.200
6.90E-03,3.200
7.00E-03,3.200
7.10E-03,3.200
7.20E-03,3.180
7.30E-03,3.180
7.40E-03,3.200
7.50E-03,3.180
7.60E-03,3.200
7.70E-03,3.200
7.80E-03,3.180
7.90E-03,3.200
8.00E-03,3.200
8.10E-03,3.200
8.20E-03,3.180
8.30E-03,3.180
8.40E-03,3.180
8.50E-03,3.180
8.60E-03,3.200
8.70E-03,3.200
8.80E-03,3.180
8.90E-03,3.200
9.00E-03,3.200
9.10E-03,3.200
9.20E-03,3.180
9.30E-03,3.200
9.40E-03,3.200
9.50E-03,3.180
9.60E-03,3.200
9.70E-03,3.180
9.80E-03,3.180
9.90E-03,3.180
1.00E-02,3.200
1.01E-02,3.200
1.02E-02,3.180
1.03E-02,3.180
1.04E-02,3.180
1.05E-02,3.180
1.06E-02,3.180
1.07E-02,3.200
1.08E-02,3.180
1.09E-02,3.200
1.10E-02,3.180
1.11E-02,3.180
1.12E-02,3.180
1.13E-02,3.180
1.14E-02,3.180
1.15E-02,3.200
1.16E-02,3.180
1.17E-02,3.200
1.18E-02,3.200
1.19E-02,3.200
1.20E-02,3.200
1.21E-02,3.180
1.22E-02,3.200
1.23E-02,3.200
1.24E-02,3.200
1.25E-02,3.180
1.26E-02,3.180
1.27E-02,3.200
1.28E-02,3.180
1.29E-02,3.180
1.30E-02,3.180
1.31E-02,3.200
1.32E-02,3.200
1.33E-02,3.180
1.34E-02,3.180
