#flipflop between high and low with a delay of 100ms between changes
#timebase=40000000000(ps)
,#voltbase=1000000(mv/100)
#size=4064
2.00E-04,4.680
4.00E-04,4.680
6.00E-04,4.680
8.00E-04,4.680
1.00E-03,4.720
1.20E-03,4.720
1.40E-03,4.680
1.60E-03,4.680
1.80E-03,4.680
2.00E-03,4.640
2.20E-03,4.720
2.40E-03,4.720
2.60E-03,4.680
2.80E-03,4.720
3.00E-03,4.760
3.20E-03,4.680
3.40E-03,4.680
3.60E-03,4.640
3.80E-03,4.680
4.00E-03,4.760
4.20E-03,4.720
4.40E-03,4.680
4.60E-03,4.680
4.80E-03,4.680
5.00E-03,4.720
5.20E-03,4.720
5.40E-03,4.720
5.60E-03,4.720
5.80E-03,-0.080
6.00E-03,-0.040
6.20E-03,0.000
6.40E-03,0.000
6.60E-03,0.000
6.80E-03,0.000
7.00E-03,-0.040
7.20E-03,-0.040
7.40E-03,-0.040
7.60E-03,0.000
7.80E-03,0.000
8.00E-03,0.000
8.20E-03,0.040
8.40E-03,0.000
8.60E-03,0.000
8.80E-03,0.000
9.00E-03,0.000
9.20E-03,0.000
9.40E-03,0.040
9.60E-03,0.080
9.80E-03,0.080
1.00E-02,0.120
1.02E-02,0.120
1.04E-02,0.040
1.06E-02,0.040
1.08E-02,0.040
1.10E-02,0.080
1.12E-02,0.120
1.14E-02,0.080
1.16E-02,0.160
1.18E-02,0.080
1.20E-02,0.080
1.22E-02,0.080
1.24E-02,0.080
1.26E-02,0.120
1.28E-02,0.120
1.30E-02,0.160
1.32E-02,0.080
1.34E-02,0.080
1.36E-02,0.120
1.38E-02,0.120
1.40E-02,0.120
1.42E-02,0.120
1.44E-02,0.080
1.46E-02,0.120
1.48E-02,0.120
1.50E-02,0.160
1.52E-02,0.120
1.54E-02,0.120
1.56E-02,0.120
1.58E-02,0.120
1.60E-02,0.160
1.62E-02,0.080
1.64E-02,0.160
1.66E-02,0.080
1.68E-02,0.120
1.70E-02,0.120
1.72E-02,0.160
1.74E-02,0.080
1.76E-02,0.120
1.78E-02,0.120
1.80E-02,0.120
1.82E-02,0.080
1.84E-02,0.080
1.86E-02,0.080
1.88E-02,0.160
1.90E-02,0.120
1.92E-02,0.120
1.94E-02,0.120
1.96E-02,0.160
1.98E-02,0.120
2.00E-02,0.080
2.02E-02,0.120
2.04E-02,0.120
2.06E-02,0.120
2.08E-02,0.080
2.10E-02,0.160
2.12E-02,0.120
2.14E-02,0.160
2.16E-02,0.080
2.18E-02,0.160
2.20E-02,0.120
2.22E-02,0.120
2.24E-02,0.120
2.26E-02,0.080
2.28E-02,0.120
2.30E-02,0.160
2.32E-02,0.080
2.34E-02,0.080
2.36E-02,0.080
2.38E-02,0.120
2.40E-02,0.120
2.42E-02,0.120
2.44E-02,0.080
2.46E-02,0.160
2.48E-02,0.080
2.50E-02,0.080
2.52E-02,0.120
2.54E-02,0.160
2.56E-02,0.120
2.58E-02,0.080
2.60E-02,0.120
2.62E-02,0.080
2.64E-02,0.120
2.66E-02,0.120
2.68E-02,0.080
2.70E-02,0.080
2.72E-02,0.120
2.74E-02,0.120
2.76E-02,0.120
2.78E-02,0.080
2.80E-02,0.080
2.82E-02,0.120
2.84E-02,0.080
2.86E-02,0.120
2.88E-02,0.120
2.90E-02,0.120
2.92E-02,0.080
2.94E-02,0.080
2.96E-02,0.120
2.98E-02,0.080
3.00E-02,0.080
3.02E-02,0.120
3.04E-02,0.160
3.06E-02,0.160
3.08E-02,0.120
3.10E-02,0.080
3.12E-02,0.120
3.14E-02,0.120
3.16E-02,0.160
3.18E-02,0.120
3.20E-02,0.120
3.22E-02,0.080
3.24E-02,0.120
3.26E-02,0.120
3.28E-02,0.160
3.30E-02,0.120
3.32E-02,0.120
3.34E-02,0.160
3.36E-02,0.080
3.38E-02,0.120
3.40E-02,0.120
3.42E-02,0.120
3.44E-02,0.120
3.46E-02,0.120
3.48E-02,0.160
3.50E-02,0.080
3.52E-02,0.120
3.54E-02,0.080
3.56E-02,0.120
3.58E-02,0.080
3.60E-02,0.120
3.62E-02,0.120
3.64E-02,0.120
3.66E-02,0.080
3.68E-02,0.120
3.70E-02,0.080
3.72E-02,0.120
3.74E-02,0.120
3.76E-02,0.080
3.78E-02,0.120
3.80E-02,0.120
3.82E-02,0.120
3.84E-02,0.120
3.86E-02,0.120
3.88E-02,0.120
3.90E-02,0.080
3.92E-02,0.160
3.94E-02,0.160
3.96E-02,0.080
3.98E-02,0.160
4.00E-02,0.120
4.02E-02,0.080
4.04E-02,0.160
4.06E-02,0.080
4.08E-02,0.160
4.10E-02,0.120
4.12E-02,0.160
4.14E-02,0.080
4.16E-02,0.080
4.18E-02,0.120
4.20E-02,0.160
4.22E-02,0.160
4.24E-02,0.080
4.26E-02,0.080
4.28E-02,0.120
4.30E-02,0.160
4.32E-02,0.120
4.34E-02,0.080
4.36E-02,0.160
4.38E-02,0.080
4.40E-02,0.120
4.42E-02,0.120
4.44E-02,0.120
4.46E-02,0.080
4.48E-02,0.120
4.50E-02,0.160
4.52E-02,0.080
4.54E-02,0.080
4.56E-02,0.080
4.58E-02,0.120
4.60E-02,0.120
4.62E-02,0.120
4.64E-02,0.120
4.66E-02,0.120
4.68E-02,0.120
4.70E-02,0.080
4.72E-02,0.160
4.74E-02,0.120
4.76E-02,0.080
4.78E-02,0.080
4.80E-02,0.160
4.82E-02,0.080
4.84E-02,0.080
4.86E-02,0.120
4.88E-02,0.080
4.90E-02,0.120
4.92E-02,0.120
4.94E-02,0.080
4.96E-02,0.160
4.98E-02,0.080
5.00E-02,0.080
5.02E-02,0.120
5.04E-02,0.120
5.06E-02,0.080
5.08E-02,0.080
5.10E-02,0.080
5.12E-02,0.080
5.14E-02,0.080
5.16E-02,0.120
5.18E-02,0.080
5.20E-02,0.120
5.22E-02,0.120
5.24E-02,0.160
5.26E-02,0.120
5.28E-02,0.160
5.30E-02,0.080
5.32E-02,0.080
5.34E-02,0.120
5.36E-02,0.160
5.38E-02,0.160
5.40E-02,0.120
5.42E-02,0.120
5.44E-02,0.080
5.46E-02,0.160
5.48E-02,0.080
5.50E-02,0.080
5.52E-02,0.080
5.54E-02,0.080
5.56E-02,0.120
5.58E-02,0.160
5.60E-02,0.120
5.62E-02,0.080
5.64E-02,0.120
5.66E-02,0.080
5.68E-02,0.120
5.70E-02,0.080
5.72E-02,0.080
5.74E-02,0.120
5.76E-02,0.160
5.78E-02,0.120
5.80E-02,0.120
5.82E-02,0.160
5.84E-02,0.080
5.86E-02,0.120
5.88E-02,0.160
5.90E-02,0.080
5.92E-02,0.120
5.94E-02,0.160
5.96E-02,0.120
5.98E-02,0.080
6.00E-02,0.080
6.02E-02,0.120
6.04E-02,0.160
6.06E-02,0.120
6.08E-02,0.080
6.10E-02,0.160
6.12E-02,0.120
6.14E-02,0.120
6.16E-02,0.080
6.18E-02,0.080
6.20E-02,0.120
6.22E-02,0.160
6.24E-02,0.120
6.26E-02,0.160
6.28E-02,0.080
6.30E-02,0.080
6.32E-02,0.080
6.34E-02,0.120
6.36E-02,0.120
6.38E-02,0.160
6.40E-02,0.080
6.42E-02,0.080
6.44E-02,0.120
6.46E-02,0.160
6.48E-02,0.120
6.50E-02,0.120
6.52E-02,0.160
6.54E-02,0.080
6.56E-02,0.080
6.58E-02,0.120
6.60E-02,0.160
6.62E-02,0.120
6.64E-02,0.160
6.66E-02,0.120
6.68E-02,0.160
6.70E-02,0.120
6.72E-02,0.080
6.74E-02,0.080
6.76E-02,0.120
6.78E-02,0.080
6.80E-02,0.120
6.82E-02,0.080
6.84E-02,0.120
6.86E-02,0.120
6.88E-02,0.080
6.90E-02,0.160
6.92E-02,0.080
6.94E-02,0.120
6.96E-02,0.160
6.98E-02,0.120
7.00E-02,0.120
7.02E-02,0.120
7.04E-02,0.080
7.06E-02,0.160
7.08E-02,0.160
7.10E-02,0.120
7.12E-02,0.080
7.14E-02,0.120
7.16E-02,0.080
7.18E-02,0.080
7.20E-02,0.080
7.22E-02,0.080
7.24E-02,0.120
7.26E-02,0.160
7.28E-02,0.080
7.30E-02,0.120
7.32E-02,0.120
7.34E-02,0.160
